item_id,admlog_id,vertical,action,to_moderation_datetime,action_datetime,user_group,user_id,ModerSourceEventType,moderation_duration,moderation_type
8094,158957478353,Goods,allowed,2024-09-23 12:46:51,2024-09-23 12:47:56,cron,229,activation,0 days 00:01:05,ML
322014,159977945335,Goods,allowed,2024-09-29 17:13:08,2024-09-29 17:14:11,cron,256363,activation,0 days 00:01:03,ML
831609,159287801093,Goods,allowed,2024-09-25 08:40:44,2024-09-25 08:41:48,cron,2140675,activation,0 days 00:01:04,ML
1816544,155772374038,Services,allowed,2024-09-01 19:21:36,2024-09-01 19:22:42,cron,1913450,activation,0 days 00:01:06,ML
2259134,156216648200,Goods,allowed,2024-09-04 16:54:43,2024-09-04 17:02:46,cron,58250358,activation,0 days 00:08:03,ML
3000049,156657500067,Goods,allowed,2024-09-07 12:45:25,2024-09-07 13:00:48,GD.Pb.Moderation Alekyan Eleonora,365025335,update,0 days 00:15:23,manual
3007294,158436166838,Goods,allowed,2024-09-19 16:00:58,2024-09-19 16:02:04,cron,365604764,activation,0 days 00:01:06,ML
3024064,158903817061,Goods,allowed,2024-09-22 21:51:31,2024-09-22 21:52:38,cron,58750058,update,0 days 00:01:07,ML
3024064,158942356156,Goods,allowed,2024-09-23 08:57:13,2024-09-23 08:58:19,cron,58750058,update,0 days 00:01:06,ML
3027349,159276523875,Goods,allowed,2024-09-25 08:32:43,2024-09-25 08:33:44,cron,256250149,activation,0 days 00:01:01,ML
3052239,157902229328,Goods,allowed,2024-09-16 09:46:50,2024-09-16 09:47:57,cron,258250113,activation,0 days 00:01:07,ML
3078574,156268032375,Goods,allowed,2024-09-04 22:12:01,2024-09-04 22:13:06,cron,1599339,update,0 days 00:01:05,ML
3078574,157805149339,Goods,allowed,2024-09-15 17:16:56,2024-09-15 17:18:01,cron,1599339,update,0 days 00:01:05,ML
3078574,160211524920,Goods,allowed,2024-09-30 21:37:56,2024-09-30 21:38:57,cron,1599339,update,0 days 00:01:01,ML
3096994,156245173732,Goods,allowed,2024-09-04 20:06:40,2024-09-04 20:07:46,cron,1775007,activation,0 days 00:01:06,ML
3179969,159207104005,Goods,allowed,2024-09-24 19:14:02,2024-09-24 19:15:04,cron,120000032,activation,0 days 00:01:02,ML
3293519,158282757985,Goods,allowed,2024-09-18 14:45:43,2024-09-18 14:46:49,cron,757233,activation,0 days 00:01:06,ML
3299904,157681535208,Goods,allowed,2024-09-14 16:22:28,2024-09-14 16:23:32,cron,3759,activation,0 days 00:01:04,ML
3306004,157453243150,Goods,allowed,2024-09-12 22:37:51,2024-09-12 22:38:56,cron,1808607,activation,0 days 00:01:05,ML
3324429,157785086074,Goods,allowed,2024-09-15 13:57:18,2024-09-15 13:58:22,cron,622,activation,0 days 00:01:04,ML
3331004,158765703917,Goods,allowed,2024-09-21 23:17:43,2024-09-21 23:18:48,cron,2505257,activation,0 days 00:01:05,ML
3345079,157094336015,Goods,allowed,2024-09-10 12:30:17,2024-09-10 12:31:23,cron,4618,activation,0 days 00:01:06,ML
3345884,157970203180,Goods,allowed,2024-09-16 17:17:18,2024-09-16 17:18:23,cron,374278817,activation,0 days 00:01:05,ML
3349229,155728696512,Goods,allowed,2024-09-01 14:09:14,2024-09-01 14:10:17,cron,2053331,activation,0 days 00:01:03,ML
3388499,155991171017,Realty,allowed,2024-09-03 15:16:04,2024-09-03 15:17:10,cron,756606,activation,0 days 00:01:06,ML
3501449,155910103922,Services,allowed,2024-09-02 16:47:52,2024-09-02 16:48:58,cron,2164041,update,0 days 00:01:06,ML
3501449,155905377448,Services,allowed,2024-09-02 16:59:14,2024-09-02 17:00:18,cron,2164041,update,0 days 00:01:04,ML
3501449,155906133965,Services,allowed,2024-09-02 17:03:58,2024-09-02 17:05:05,cron,2164041,update,0 days 00:01:07,ML
3501449,155906749625,Services,allowed,2024-09-02 17:54:04,2024-09-02 17:55:10,cron,2164041,update,0 days 00:01:06,ML
3501449,156413536433,Services,allowed,2024-09-05 19:16:13,2024-09-05 19:17:19,cron,2164041,update,0 days 00:01:06,ML
3745009,156335010843,Goods,allowed,2024-09-05 09:28:25,2024-09-05 09:29:33,cron,2114057,activation,0 days 00:01:08,ML
3875374,156597007571,Goods,allowed,2024-09-06 21:34:42,2024-09-06 21:35:47,cron,1000005,activation,0 days 00:01:05,ML
3990449,158765617473,Goods,allowed,2024-09-21 22:19:23,2024-09-21 22:20:31,cron,369753390,activation,0 days 00:01:08,ML
4022554,157673818602,Goods,allowed,2024-09-14 14:50:13,2024-09-14 14:51:18,cron,366975218,activation,0 days 00:01:05,ML
4027779,158666791122,Goods,allowed,2024-09-21 07:08:08,2024-09-21 07:09:13,cron,369150265,activation,0 days 00:01:05,ML
4074719,157992755850,Goods,allowed,2024-09-16 19:04:07,2024-09-16 19:05:10,cron,2026793,activation,0 days 00:01:03,ML
