item_id,admlog_id,vertical,action,to_moderation_datetime,action_datetime,user_group,user_id,ModerSourceEventType
8094,158957478353,Goods,allowed,2024-09-23T12:46:51,2024-09-23T12:47:56.586000,cron,229,activation
322014,159977945335,Goods,allowed,2024-09-29T17:13:08,2024-09-29T17:14:11.174000,cron,256363,activation
831609,159287801093,Goods,allowed,2024-09-25T08:40:44,2024-09-25T08:41:48.403000,cron,2140675,activation
1816544,155772374038,Services,allowed,2024-09-01T19:21:36,2024-09-01T19:22:42.308000,cron,1913450,activation
2259134,156216648200,Goods,allowed,2024-09-04T16:54:43,2024-09-04T17:02:46.756000,cron,58250358,activation
3000049,156657500067,Goods,allowed,2024-09-07T12:45:25,2024-09-07T13:00:48.244000,GD.Pb.Moderation Alekyan Eleonora,365025335,update
3007294,158436166838,Goods,allowed,2024-09-19T16:00:58,2024-09-19T16:02:04.202000,cron,365604764,activation
3024064,158903817061,Goods,allowed,2024-09-22T21:51:31,2024-09-22T21:52:38.192000,cron,58750058,update
3024064,158942356156,Goods,allowed,2024-09-23T08:57:13,2024-09-23T08:58:19.783000,cron,58750058,update
3027349,159276523875,Goods,allowed,2024-09-25T08:32:43,2024-09-25T08:33:44.525000,cron,256250149,activation
3052239,157902229328,Goods,allowed,2024-09-16T09:46:50,2024-09-16T09:47:57.502000,cron,258250113,activation
3078574,156268032375,Goods,allowed,2024-09-04T22:12:01,2024-09-04T22:13:06.455000,cron,1599339,update
3078574,157805149339,Goods,allowed,2024-09-15T17:16:56,2024-09-15T17:18:01.473000,cron,1599339,update
3078574,160211524920,Goods,allowed,2024-09-30T21:37:56,2024-09-30T21:38:57.625000,cron,1599339,update
3096994,156245173732,Goods,allowed,2024-09-04T20:06:40,2024-09-04T20:07:46.419000,cron,1775007,activation
3179969,159207104005,Goods,allowed,2024-09-24T19:14:02,2024-09-24T19:15:04.276000,cron,120000032,activation
3293519,158282757985,Goods,allowed,2024-09-18T14:45:43,2024-09-18T14:46:49.373000,cron,757233,activation
3299904,157681535208,Goods,allowed,2024-09-14T16:22:28,2024-09-14T16:23:32,cron,3759,activation
3306004,157453243150,Goods,allowed,2024-09-12T22:37:51,2024-09-12T22:38:56.708000,cron,1808607,activation
3324429,157785086074,Goods,allowed,2024-09-15T13:57:18,2024-09-15T13:58:22.803000,cron,622,activation
3331004,158765703917,Goods,allowed,2024-09-21T23:17:43,2024-09-21T23:18:48.047000,cron,2505257,activation
3345079,157094336015,Goods,allowed,2024-09-10T12:30:17,2024-09-10T12:31:23.111000,cron,4618,activation
3345884,157970203180,Goods,allowed,2024-09-16T17:17:18,2024-09-16T17:18:23.875000,cron,374278817,activation
3349229,155728696512,Goods,allowed,2024-09-01T14:09:14,2024-09-01T14:10:17.839000,cron,2053331,activation
3388499,155991171017,Realty,allowed,2024-09-03T15:16:04,2024-09-03T15:17:10.750000,cron,756606,activation
3501449,155910103922,Services,allowed,2024-09-02T16:47:52,2024-09-02T16:48:58.142000,cron,2164041,update
3501449,155905377448,Services,allowed,2024-09-02T16:59:14,2024-09-02T17:00:18.400000,cron,2164041,update
3501449,155906133965,Services,allowed,2024-09-02T17:03:58,2024-09-02T17:05:05.912000,cron,2164041,update
3501449,155906749625,Services,allowed,2024-09-02T17:54:04,2024-09-02T17:55:10.233000,cron,2164041,update
3501449,156413536433,Services,allowed,2024-09-05T19:16:13,2024-09-05T19:17:19.248000,cron,2164041,update
3745009,156335010843,Goods,allowed,2024-09-05T09:28:25,2024-09-05T09:29:33.161000,cron,2114057,activation
3875374,156597007571,Goods,allowed,2024-09-06T21:34:42,2024-09-06T21:35:47.919000,cron,1000005,activation
3990449,158765617473,Goods,allowed,2024-09-21T22:19:23,2024-09-21T22:20:31.721000,cron,369753390,activation
4022554,157673818602,Goods,allowed,2024-09-14T14:50:13,2024-09-14T14:51:18.103000,cron,366975218,activation
4027779,158666791122,Goods,allowed,2024-09-21T07:08:08,2024-09-21T07:09:13.611000,cron,369150265,activation
4074719,157992755850,Goods,allowed,2024-09-16T19:04:07,2024-09-16T19:05:10.868000,cron,2026793,activation
4076949,158248454231,Goods,allowed,2024-09-18T10:46:21,2024-09-18T10:47:28.257000,cron,1529876,activation
4146459,156418116163,Goods,allowed,2024-09-05T21:20:27,2024-09-05T21:21:32.571000,cron,211000233,activation
4168464,156140870665,Goods,allowed,2024-09-04T10:43:24,2024-09-04T10:44:29.016000,cron,1772393,activation
4432199,157240199870,Goods,allowed,2024-09-11T10:33:22,2024-09-11T10:34:29.446000,cron,2017784,activation
6077974,156480901236,Services,allowed,2024-09-06T10:17:40,2024-09-06T10:18:47.788000,cron,39250087,activation
